  x  	  n(x)  	  dndx(x)  	  Alfa  	  Band gap  	  EQ Field
 2.215e-06	9.602e+10	-1.452e+16	1.061e+07	2.402	-1.615e+05
 2.223e-06	9.591e+10	-1.45e+16	1.062e+07	2.401	-1.615e+05
 2.231e-06	9.579e+10	-1.449e+16	1.064e+07	2.4	-1.615e+05
 2.239e-06	9.568e+10	-1.447e+16	1.065e+07	2.398	-1.615e+05
 2.246e-06	9.557e+10	-1.445e+16	1.066e+07	2.397	-1.615e+05
 2.254e-06	9.546e+10	-1.444e+16	1.068e+07	2.396	-1.615e+05
 2.262e-06	9.534e+10	-1.442e+16	1.069e+07	2.395	-1.615e+05
  2.27e-06	9.523e+10	-1.44e+16	1.07e+07	2.393	-1.615e+05
 2.278e-06	9.512e+10	-1.438e+16	1.072e+07	2.392	-1.615e+05
 2.285e-06	9.501e+10	-1.437e+16	1.073e+07	2.391	-1.615e+05
 2.293e-06	9.489e+10	-1.435e+16	1.074e+07	2.39	-1.615e+05
 2.301e-06	9.478e+10	-1.433e+16	1.076e+07	2.388	-1.615e+05
 2.309e-06	9.467e+10	-1.432e+16	1.077e+07	2.387	-1.615e+05
 2.317e-06	9.456e+10	-1.43e+16	1.078e+07	2.386	-1.615e+05
 2.324e-06	9.445e+10	-1.428e+16	1.08e+07	2.385	-1.615e+05
 2.332e-06	9.434e+10	-1.427e+16	1.081e+07	2.383	-1.615e+05
  2.34e-06	9.423e+10	-1.425e+16	1.082e+07	2.382	-1.615e+05
 2.348e-06	9.411e+10	-1.423e+16	1.084e+07	2.381	-1.615e+05
 2.356e-06	9.4e+10	-1.422e+16	1.085e+07	2.379	-1.615e+05
 2.363e-06	9.389e+10	-1.42e+16	1.087e+07	2.378	-1.615e+05
 2.371e-06	9.378e+10	-1.418e+16	1.088e+07	2.377	-1.615e+05
 2.379e-06	9.367e+10	-1.417e+16	1.089e+07	2.376	-1.615e+05
 2.387e-06	9.356e+10	-1.415e+16	1.091e+07	2.374	-1.615e+05
 2.395e-06	9.345e+10	-1.413e+16	1.092e+07	2.373	-1.615e+05
 2.402e-06	9.334e+10	-1.412e+16	1.093e+07	2.372	-1.615e+05
  2.41e-06	9.323e+10	-1.41e+16	1.095e+07	2.371	-1.615e+05
 2.418e-06	9.312e+10	-1.408e+16	1.096e+07	2.369	-1.615e+05
 2.426e-06	9.301e+10	-1.407e+16	1.098e+07	2.368	-1.615e+05
 2.434e-06	9.29e+10	-1.405e+16	1.099e+07	2.367	-1.615e+05
 2.441e-06	9.279e+10	-1.403e+16	1.1e+07	2.366	-1.615e+05
 2.449e-06	9.268e+10	-1.402e+16	1.102e+07	2.364	-1.615e+05
 2.457e-06	9.257e+10	-1.4e+16	1.103e+07	2.363	-1.615e+05
 2.465e-06	9.246e+10	-1.398e+16	1.105e+07	2.362	-1.615e+05
 2.473e-06	9.235e+10	-1.397e+16	1.106e+07	2.361	-1.615e+05
  2.48e-06	9.225e+10	-1.395e+16	1.107e+07	2.359	-1.615e+05
 2.488e-06	9.214e+10	-1.393e+16	1.109e+07	2.358	-1.615e+05
 2.496e-06	9.203e+10	-1.392e+16	1.11e+07	2.357	-1.615e+05
 2.504e-06	9.192e+10	-1.39e+16	1.111e+07	2.356	-1.615e+05
 2.512e-06	9.181e+10	-1.388e+16	1.113e+07	2.354	-1.615e+05
 2.519e-06	9.17e+10	-1.387e+16	1.114e+07	2.353	-1.615e+05
 2.527e-06	9.16e+10	-1.385e+16	1.116e+07	2.352	-1.615e+05
 2.535e-06	9.149e+10	-1.383e+16	1.117e+07	2.35	-1.615e+05
 2.543e-06	9.138e+10	-1.382e+16	1.119e+07	2.349	-1.615e+05
 2.551e-06	9.127e+10	-1.38e+16	1.12e+07	2.348	-1.615e+05
 2.558e-06	9.116e+10	-1.379e+16	1.121e+07	2.347	-1.615e+05
 2.566e-06	9.106e+10	-1.377e+16	1.123e+07	2.345	-1.615e+05
