x 	 n(x) 	 p(x) 	 Conduction level 	 Valence level 	 Fermi level 	 Generation 
 2.346e-06	1.913e+15	2.452e+17	1.761	-0.1893	0.25	3.151e+26
 2.347e-06	1.919e+15	2.447e+17	1.76	-0.1901	0.25	3.169e+26
 2.348e-06	1.924e+15	2.443e+17	1.759	-0.191	0.25	3.187e+26
 2.349e-06	1.93e+15	2.438e+17	1.757	-0.1918	0.25	3.205e+26
  2.35e-06	1.936e+15	2.434e+17	1.756	-0.1927	0.25	3.218e+26
 2.352e-06	1.942e+15	2.43e+17	1.755	-0.1936	0.25	3.231e+26
 2.353e-06	1.947e+15	2.425e+17	1.754	-0.1944	0.25	3.245e+26
 2.354e-06	1.953e+15	2.421e+17	1.752	-0.1953	0.25	3.26e+26
 2.355e-06	1.959e+15	2.416e+17	1.751	-0.1962	0.25	3.276e+26
 2.356e-06	1.965e+15	2.412e+17	1.75	-0.197	0.25	3.294e+26
 2.358e-06	1.971e+15	2.407e+17	1.749	-0.1979	0.25	3.312e+26
 2.359e-06	1.977e+15	2.403e+17	1.748	-0.1988	0.25	3.332e+26
  2.36e-06	1.983e+15	2.399e+17	1.746	-0.1997	0.25	3.347e+26
 2.361e-06	1.989e+15	2.394e+17	1.745	-0.2005	0.25	3.36e+26
 2.362e-06	1.994e+15	2.39e+17	1.744	-0.2014	0.25	3.374e+26
 2.364e-06	2e+15	2.385e+17	1.743	-0.2023	0.25	3.389e+26
 2.365e-06	2.006e+15	2.381e+17	1.741	-0.2032	0.25	3.405e+26
 2.366e-06	2.012e+15	2.377e+17	1.74	-0.204	0.25	3.422e+26
 2.367e-06	2.019e+15	2.372e+17	1.739	-0.2049	0.25	3.44e+26
 2.368e-06	2.025e+15	2.368e+17	1.738	-0.2058	0.25	3.46e+26
  2.37e-06	2.031e+15	2.363e+17	1.736	-0.2067	0.25	3.478e+26
 2.371e-06	2.037e+15	2.359e+17	1.735	-0.2076	0.25	3.491e+26
 2.372e-06	2.043e+15	2.355e+17	1.734	-0.2085	0.25	3.505e+26
 2.373e-06	2.049e+15	2.35e+17	1.733	-0.2094	0.25	3.519e+26
 2.374e-06	2.055e+15	2.346e+17	1.731	-0.2103	0.25	3.535e+26
 2.376e-06	2.061e+15	2.342e+17	1.73	-0.2111	0.25	3.552e+26
 2.377e-06	2.068e+15	2.337e+17	1.729	-0.212	0.25	3.57e+26
 2.378e-06	2.074e+15	2.333e+17	1.728	-0.2129	0.25	3.59e+26
 2.379e-06	2.08e+15	2.329e+17	1.726	-0.2138	0.25	3.609e+26
  2.38e-06	2.086e+15	2.325e+17	1.725	-0.2147	0.25	3.622e+26
 2.382e-06	2.093e+15	2.32e+17	1.724	-0.2156	0.25	3.636e+26
 2.383e-06	2.099e+15	2.316e+17	1.722	-0.2165	0.25	3.65e+26
